Hash,FromAddress,ToAddress,Amount,Memo,Timestamp
1FA2D437418619E186D0884F5261164F9AC6FC4DAC1B204409A6BC52B380401B,core13xmyzhvl02xpz0pu8v9mqalsvpyy7wvs9q5f90,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,5000000.000000,,2023-03-25 09:13:47 +0000 UTC
FB8D4BBE67668238FEA1C11FBBD687D13E1671C70B212B8829728F3F8D3FB12F,core13xmyzhvl02xpz0pu8v9mqalsvpyy7wvs9q5f90,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,10000000.000000,,2023-03-25 16:55:18 +0000 UTC
9519826B2C272A259ECCF805FAD10238C32B6EBFB693A04A5430A3F862DF0DD8,core13xmyzhvl02xpz0pu8v9mqalsvpyy7wvs9q5f90,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,20000000.000000,,2023-03-26 02:21:13 +0000 UTC
848EA828A66CD7EAD5DFCAF6479078531D25C17E647FE85A82DF4E0BD961347E,core106he2npvuxdk6gudyfk730vuxlm0qqevmc5fwn,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,10.000000,,2023-03-30 03:48:40 +0000 UTC
C4D196421999D6D012C7A07FD3FF9D40776903D4423CBB9A81D9D42CD7F36543,core13xmyzhvl02xpz0pu8v9mqalsvpyy7wvs9q5f90,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,10000000.000000,,2023-04-03 20:15:45 +0000 UTC
265FCBA43EB18A5725EB5CAE147DE57AAF0A8418654C154D10948A33FB639D07,core1egcyd3dm67f777ew8wa6xcv3rc2anx7p0za8ql,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,123.481867,,2023-04-03 22:17:36 +0000 UTC
26ABA5FDDCC5950C538B0C357DF85771BA0845F555F566D673B0B31C7FB35244,core1e7n8v6lfnaqdvzcnvqcakawrazhn093ultp0hg,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,1000.627903,,2023-04-09 18:24:47 +0000 UTC
6D54B8E8280ECEF996C05AA72B71A8FBC5736CA8A764A9B50359FA6DE3FB2902,core18fg40wgsz6vcrq6lulp54e3xg6q8gpjf48drcc,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,1.000000,,2023-04-10 13:30:22 +0000 UTC
383A1C3AF2DA183F9DFF11C3729A2FEC5530E89C4096855392E040BA9E4F76BB,core1t3af46frgdj800m56dg2aleqmgpl8jwr9x5l0l,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,8.000000,,2023-04-19 07:59:29 +0000 UTC
42FE5A2BAEF4DE2E2CFF62109385A44A029D33756D65F55FEAAC1E1B354FF308,core13r4hy02dm4aqjdkvwjqxthwggrdlrt3y2f7dp8,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,10.000000,,2023-05-04 08:39:28 +0000 UTC
0D4079E15FF82B1C2FDB0793A1C5B670A8FD2BAF0D8BCC2F33E15EB5C083E28B,core1ag9rt5xefd2g90c9l3x9k5hjnz0yn0g8ppm6rr,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,5.000000,,2023-05-08 13:19:58 +0000 UTC
51BA3846416BBA57189C6BDD1FC092A6F235047735D1CB3020DD22DB940C1805,core17f6znm0syske7f86tv0zav7ztztjspv2cxpcrw,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,1.000000,,2023-06-20 18:27:49 +0000 UTC
12D11BA98B52D6936FA6B13BECC0E51BAB5378FE11BDF136393724AAAF477551,core1ysxznhfphyypfm86gzd6ts6jvq6pp3q2veghta,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,1830.000000,,2023-07-03 12:42:48 +0000 UTC
5D6CB81C8A26661B6EF808FE835340DCBCC5C5122E68F3253493F57D40819B0C,core180rtdyt38d2c92whjajd9qvd0ur2ne9csf5nwm,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,99.000000,,2023-07-29 23:02:59 +0000 UTC
132E93A85E2453D9AAB6898B256C771F7C71D96C563800FAF83E73B37CE25567,core1hnesaky9lfl0dg9qejz5lqyjaxpj47gxskztf8,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,857.708595,transfer via citadel.one,2023-10-21 19:59:15 +0000 UTC
BA0E3B1E322AD515D3EAFBED53DA8BBD6C298C54A31EF5D6EA732390A1D57273,core17f6znm0syske7f86tv0zav7ztztjspv2cxpcrw,core1ssh2d2ft6hzrgn9z6k7mmsamy2hfpxl9y8re5x,6.000000,test,2023-11-02 21:29:30 +0000 UTC
